date,option_symbol,expiration,type,strike,bid,ask,iv,delta,gamma,theta,vega,rho,volume,open_interest,last,last_trade_time,spot
2025-12-13,AAPL251219C00305000,2025-12-19,C,305.0,0.01,0.02,0.2528,0.0058,0.0016,-0.009,0.0069,0.0003,612.0,36745.0,0.01,2025-12-12T15:54:55,278.2799987792969
2025-12-13,AAPL251219C00310000,2025-12-19,C,310.0,0.01,0.02,0.2928,0.0037,0.001,-0.0066,0.0047,0.0002,185.0,10788.0,0.01,2025-12-12T15:54:45,278.2799987792969
2025-12-13,AAPL251219C00315000,2025-12-19,C,315.0,0.0,0.03,0.3315,0.0026,0.0006,-0.005,0.0033,0.0001,885.0,4518.0,0.01,2025-12-12T15:41:42,278.2799987792969
2025-12-13,AAPL251219C00320000,2025-12-19,C,320.0,0.0,0.04,0.3801,0.0019,0.0004,-0.004,0.0025,0.0001,26.0,10590.0,0.01,2025-12-12T14:59:02,278.2799987792969
2025-12-13,AAPL251219C00325000,2025-12-19,C,325.0,0.0,0.01,0.3676,0.0014,0.0003,-0.0032,0.0019,0.0001,18.0,3085.0,0.01,2025-12-12T14:03:34,278.2799987792969
2025-12-13,AAPL251219C00340000,2025-12-19,C,340.0,0.0,0.01,0.4644,0.0006,0.0001,-0.0018,0.0009,0.0,3.0,5080.0,0.01,2025-12-12T09:32:09,278.2799987792969
2025-12-13,AAPL251226P00190000,2025-12-26,P,190.0,0.0,0.51,0.9261,-0.0006,0.0001,-0.0022,0.0013,-0.0001,100.0,101.0,0.01,2025-12-12T11:12:45,278.2799987792969
2025-12-13,AAPL251226P00205000,2025-12-26,P,205.0,0.01,0.03,0.5634,-0.0013,0.0001,-0.0037,0.0024,-0.0001,53.0,218.0,0.02,2025-12-12T13:55:36,278.2799987792969
2025-12-13,AAPL251226P00220000,2025-12-26,P,220.0,0.0,0.53,0.6116,-0.0028,0.0004,-0.0063,0.0048,-0.0003,6.0,685.0,0.11,2025-12-12T13:37:21,278.2799987792969
2025-12-13,AAPL251226P00225000,2025-12-26,P,225.0,0.01,0.05,0.4224,-0.0036,0.0005,-0.0077,0.0062,-0.0004,3.0,122.0,0.04,2025-12-12T14:14:53,278.2799987792969
2025-12-13,AAPL251226P00230000,2025-12-26,P,230.0,0.03,0.08,0.4105,-0.0049,0.0007,-0.0094,0.0081,-0.0005,128.0,435.0,0.03,2025-12-12T15:40:50,278.2799987792969
2025-12-13,AAPL251226C00235000,2025-12-26,C,235.0,42.3,45.35,0.3923,0.9935,0.001,-0.0116,0.0107,0.0892,33.0,119.0,43.75,2025-12-12T09:51:09,278.2799987792969
2025-12-13,AAPL251226P00235000,2025-12-26,P,235.0,0.04,0.06,0.3652,-0.0067,0.001,-0.0116,0.0107,-0.0007,194.0,727.0,0.04,2025-12-12T14:58:43,278.2799987792969
2025-12-13,AAPL251226P00240000,2025-12-26,P,240.0,0.03,0.06,0.3208,-0.0094,0.0014,-0.0146,0.0145,-0.0009,140.0,404.0,0.05,2025-12-12T15:24:45,278.2799987792969
2025-12-13,AAPL251226P00245000,2025-12-26,P,245.0,0.07,0.08,0.3006,-0.0137,0.0021,-0.0189,0.0202,-0.0014,45.0,897.0,0.08,2025-12-12T15:32:46,278.2799987792969
2025-12-13,AAPL251226P00250000,2025-12-26,P,250.0,0.1,0.12,0.2762,-0.0212,0.0034,-0.0255,0.0291,-0.0021,423.0,1524.0,0.11,2025-12-12T15:59:24,278.2799987792969
2025-12-13,AAPL251226P00255000,2025-12-26,P,255.0,0.18,0.2,0.2522,-0.035,0.0056,-0.0361,0.0442,-0.0033,44.0,734.0,0.22,2025-12-12T15:43:41,278.2799987792969
2025-12-13,AAPL251226C00257500,2025-12-26,C,257.5,20.7,22.0,0.1981,0.9546,0.0072,-0.0432,0.0544,0.0937,10.0,1465.0,20.81,2025-12-12T15:46:14,278.2799987792969
2025-12-13,AAPL251226P00257500,2025-12-26,P,257.5,0.23,0.25,0.2416,-0.0461,0.0073,-0.0437,0.0548,-0.0045,60.0,201.0,0.28,2025-12-12T15:42:37,278.2799987792969
2025-12-13,AAPL251226C00260000,2025-12-26,C,260.0,18.7,19.2,0.2037,0.9394,0.0094,-0.0524,0.0679,0.093,31.0,749.0,19.07,2025-12-12T15:17:35,278.2799987792969
2025-12-13,AAPL251226P00260000,2025-12-26,P,260.0,0.31,0.34,0.2316,-0.0615,0.0096,-0.0531,0.0683,-0.0059,891.0,6874.0,0.33,2025-12-12T15:59:25,278.2799987792969
2025-12-13,AAPL251226C00262500,2025-12-26,C,262.5,16.15,17.0,0.1977,0.9186,0.0124,-0.0638,0.0848,0.0917,12.0,13.0,16.39,2025-12-12T11:10:51,278.2799987792969
2025-12-13,AAPL251226P00262500,2025-12-26,P,262.5,0.43,0.46,0.222,-0.0827,0.0125,-0.0646,0.0855,-0.0078,160.0,1664.0,0.48,2025-12-12T15:57:16,278.2799987792969
2025-12-13,AAPL251226C00265000,2025-12-26,C,265.0,14.05,14.5,0.2002,0.89,0.016,-0.0771,0.1053,0.0895,563.0,1654.0,13.4,2025-12-12T15:39:05,278.2799987792969
2025-12-13,AAPL251226P00265000,2025-12-26,P,265.0,0.6,0.69,0.2136,-0.1113,0.0162,-0.078,0.1058,-0.0104,338.0,1644.0,0.67,2025-12-12T15:57:30,278.2799987792969
2025-12-13,AAPL251226C00267500,2025-12-26,C,267.5,11.85,12.4,0.203,0.8515,0.0206,-0.092,0.1288,0.0863,144.0,40.0,11.5,2025-12-12T15:36:27,278.2799987792969
2025-12-13,AAPL251226P00267500,2025-12-26,P,267.5,0.8,0.89,0.2055,-0.1504,0.0209,-0.0932,0.1295,-0.0138,297.0,364.0,0.88,2025-12-12T15:59:35,278.2799987792969
2025-12-13,AAPL251226C00270000,2025-12-26,C,270.0,9.9,10.25,0.1956,0.8006,0.0258,-0.1075,0.1545,0.0817,177.0,1814.0,9.42,2025-12-12T15:43:16,278.2799987792969
2025-12-13,AAPL251226P00270000,2025-12-26,P,270.0,1.21,1.24,0.1976,-0.202,0.0262,-0.1091,0.1551,-0.0182,1698.0,3938.0,1.22,2025-12-12T15:59:34,278.2799987792969
